Agency,# Of Positions,Civil Service Title,Posting Date,Preferred Skills,Salary Range From (Annual),Salary Range To (Annual),Mean Annual Salary
DEPT OF DESIGN & CONSTRUCTION,1,ADMINISTRATIVE ENGINEER,2025-12-19,"Candidate must have ten years of full-time paid experience in architecture and/or engineering, encompassing the delivery of complex design and construction projects, at least two years of which shall have been as manager of a major business unit, within a multi-divisional public or private architecture and/or engineering organization. Familiarity with Building Codes and Local Laws pertaining to design and construction; LEED AP certification is preferred. Experience with Integrated Project Delivery (IPD) and Building Information Modeling (BIM) is a plus. Familiarity with and interaction with NYCDOB protocols is desired.",103355,228632,165994
DEPT OF YOUTH & COMM DEV SRVS,1,CITY RESEARCH SCIENTIST,2025-10-21,"Strong knowledge and hands-on experience with the City’s Financial Management System (FMS), BOXI, and PASSPort. Advanced proficiency in Microsoft Office applications, particularly Excel, with the ability to manage and analyze complex data sets. Detail-oriented with strong analytical and quantitative skills in fiscal and budgetary operations, organizational analysis. Excellent written and verbal communication skills, with the ability to clearly present findings and recommendations. Strong knowledge and experience with Capital Budgeting is a plus.",74536,90188,82362
DEPARTMENT OF CITY PLANNING,1,CITY PLANNER,2025-11-03,"•	Experience managing projects and studies; ability to lead meetings effectively and inclusively; •	Experience managing and/or training staff; •	Excellent organizational skills and demonstrated abilities in complex task management; •	Proven ability to complete tasks in a timely fashion under minimal supervision and manage multiple projects simultaneously; and •	Ability to work well in teams with a diverse mix of community stakeholders, staff, elected and appointed officials.",75777,90000,82888
BRONX DISTRICT ATTORNEY,1,ASSISTANT DISTRICT ATTORNEY (S,2026-01-15,,150000,188000,169000
DEPT OF HEALTH/MENTAL HYGIENE,1,CITY RESEARCH SCIENTIST,2025-12-08,,112458,133193,122826
DEPARTMENT OF BUILDINGS,4,INSPECTOR (BOILERS),2026-01-28,Working knowledge of the NYC Construction Codes Computer literacy,62244,71581,66912
HRA/DEPT OF SOCIAL SERVICES,1,SUPERVISOR III (SOCIAL SERVICE,2026-01-26,,77211,88793,83002
DEPT OF ENVIRONMENT PROTECTION,1,COMMUNITY COORDINATOR,2026-01-26,"• Familiarity with workplace regulatory or compliance standards. • Excellent analytical and problem-solving skills. • Excellent written, verbal, and interpersonal skills. • Experience conducting investigations, analyzing data, and preparing comprehensive reports. • Familiarity with action plan development and implementation.",62868,97593,80230
DEPT OF ENVIRONMENT PROTECTION,1,WATERSHED MAINTAINER,2026-01-24,• General Familiarity of MS Office suites and MS outlook  • Ability to navigate CityTime timekeeping program  • Ability to learn how to use a computerized maintenance management system and a computer tablet to receive work orders and input data  • A Class B Commercial Driver’s License valid in the State of New York  • NYSDEC Pesticide Applicator Certification  • Ability to work will hand or power tools    • Ability to keep good written and electronic records   • Ability to operate motor vehicles and motor-powered equipment,47684,69745,58714
OFF OF PAYROLL ADMINISTRATION,1,COMPUTER SPECIALIST (SOFTWARE),2025-10-21,,99209,120000,109604
DEPT OF HEALTH/MENTAL HYGIENE,75,JR PHNURSE (SCH HLTH)>20 HR PT,2025-12-17,,100797,100797,100797
DEPT OF DESIGN & CONSTRUCTION,1,ADMINISTRATIVE PROJECT MANAGER,2025-12-23,"Please note the following preferred skills for this position:  1.	Exceptional verbal and written communication skills 2.	Robust data analytics capabilities 3.	In-depth knowledge of pertinent computer applications and data systems 4.	Proficiency in Microsoft Office including Microsoft PowerBI 5.	Knowledge of Structured Query Language (SQL). 6.	Knowledge relevant to infrastructure work (i.e., roadway, sewer, and/or water main) 7.	Proficiency in Primavera P6 scheduling  8.	Valid driver's license (required)",60443,107866,84154
DEPT OF ENVIRONMENT PROTECTION,1,ENVIRONMENTAL ENGINEERING INTE,2026-01-26,,59747,72352,66050
DEPT OF HEALTH/MENTAL HYGIENE,1,PUBLIC HEALTH EDUCATOR,2025-10-08,,66911,77877,72394
DEPT OF DESIGN & CONSTRUCTION,1,COLLEGE AIDE - ASSIGNMENT LEVE,2025-12-18,"Preference will be given to candidates who have knowledge of MsSQL, PowerBI or other reporting tools, Office 365, good written and verbal communication skills.",38563,38563,38563
DEPT OF ENVIRONMENT PROTECTION,1,ASSISTANT CIVIL ENGINEER,2025-11-26,"• A driver's license valid in New York State is required for this position. • Knowledge in AutoCAD & GIS.  • Proficient in Microsoft Office suite, especially Microsoft Access and Excel. • Strong oral and written communication. Being comfortable with on call status. • Comfortable with entering manholes and underground chambers for inspections under all weather conditions • Research capabilities",66330,76279,71304
DISTRICT ATTORNEY-MANHATTAN,3,COMMUNITY ASSOCIATE,2025-11-13,,62656,65832,64244
HRA/DEPT OF SOCIAL SERVICES,1,SUPERVISOR II SOCIAL WORK,2026-01-22,,77211,88793,83002
FIRE DEPARTMENT,1,COMPUTER ASSOC (OPERATIONS),2025-12-09,"•	In-depth knowledge of MS operating systems (PC & Servers).  •	Ability to navigate or learn legacy command line based Operating systems such as Open VMS   •	Proficient using Office tools which include Word, Excel, Visio, PowerPoint, and Project.",85250,98292,91771
HOUSING PRESERVATION & DVLPMNT,1,COMMUNITY ASSOCIATE,2025-12-18,,44545,65249,54897
DEPT OF ENVIRONMENT PROTECTION,1,ADMINISTRATIVE PUBLIC HEALTH S,2022-08-04,"- Excellent interpersonal and team building skills.   - Ability to use and navigate a laptop/tablet and desktop computer.  - Highly proficient with using MS Office including Word, Excel and PowerPoint.  - Knowledge of OSHA, NYS/DOL-PESH, EPA, NYSDEC, NYCDOB, NYCFDNY and other     related environmental, health and safety regulations.  - EHS Audit skills training and experience  - Professional Certifications (e.g. CSP, ASP, CPEA, CIH, CHMM or other EHS related) and/or      Management Systems Lead Auditor Certificate (ISO 14001, OSHA's 18000 or similar).  - Strong oral presentation and writing skills.  - Ability to work independently, requiring minimal day-to-day direction or oversight.  - Ability to manage and prioritize multiple tasks.  - Ability to write, review and edit technical reports, executive summaries, memoranda and    presentations.  - Ability to collect and analyze relevant data on spreadsheets.  - Ability to work efficiently under pressure and meet restrictive deadlines.",58700,161534,110117
NYC HOUSING AUTHORITY,1,EXECUTIVE PROGRAM SPECIALIST,2025-12-10,"Key Competencies  •	Effective Project Manager & Change Agent: A strategic thinker and structured problem-solver, able to drive change and innovation while effectively juggle diverse responsibilities and multiple, competing priorities. Demonstrated record of facilitating organizational initiatives with a focus on program and project management, stakeholder buy-in, cross-functional teaming, process streamlining and efficiency improvements, and resource optimization. Strong background in business process improvement, operations or management consulting will be an added benefit, particularly as it pertains to developing and strengthening evidence-based management practices and driving change management. •	Exemplary Communicator: Ability to communicate clearly, both verbally and in writing, and effectively translate complex issues and information for staff at differing levels of seniority as well as diverse stakeholders and audiences. Strong political acumen and practiced in building buy-in for change and facilitating multi-stakeholder discussions. Strong presence with senior-level staff. Experience in or collaborating with diverse functional areas and cultures, and sensitive to the challenges of low-income populations.  Preferred Skills & Experience  •	A minimum of 5 years of relevant professional experience in government or public administration, business strategy and operations, workforce planning and development, or a related field, of which at least 3 years must have been in a responsible consultative, managerial or executive capacity.  •	Strong technology skills, including Microsoft Office Suite, program/project management software, data visualization and analytics tools. Experience with agile management and solution development techniques preferred. Broader IT and systems experience will be an asset in the role.  •	Prior Public or Affordable Housing, or other government agency and intergovernmental coordination experience is strongly preferred. Knowledge of U.S. Department of Housing and Urban Development, New York State and City regulations is a plus.",120000,135000,127500
DEPT OF DESIGN & CONSTRUCTION,1,CONSTRUCTION PROJECT MANAGER,2025-12-18,"Candidates should have seven years’ experience working with complex design & construction project management, schedule management and cost management. Candidates should possess strong managerial, computer, organizational, verbal, and written communication skills.",78740,90551,84646
CONSUMER AND WORKER PROTECTION,1,CLERICAL ASSOCIATE,2025-12-05,"•	Computer literate (MS Word, Excel & Outlook); •	Detail oriented; •	Professional demeanor; •	Strong oral and communication skills; •	Organized; •	Self-motivated; and •	Fluency in a language in addition to English a plus.",46503,70619,58561
HRA/DEPT OF SOCIAL SERVICES,1,PRINCIPAL ADMINISTRATIVE ASSOC,2025-12-24,"•	Strong organizational skills that reflect ability to perform and prioritize multiple tasks seamlessly with excellent attention to detail.  •	Very strong interpersonal skills and the ability to build and maintain professional relationships.  •	Expert level written and verbal communication.  •	Demonstrated proactive approaches to problem- solving with strong decision- making capability.  •	Highly resourceful team-player, with the ability to also be extremely effective independently.  •	Proven ability to handle confidential information with discretion, be adaptable to various competing demands and demonstrate the highest level of community/client service and response.  •	Demonstrated ability to achieve high performance goals and meets deadlines in a fast-paced environment.  •	Advanced proficiency in Microsoft Outlook, Word, Excel, and Power Point.",66062,100958,83510
DEPT OF PARKS & RECREATION,20,RECREATION SPECIALIST (DEPT OF,2025-10-22,"1. 	Water Safety Instructor and CPR/AED certified.  2. 	Experience recruiting, instructing and coaching sports, including girls’, women’s and non-traditional sports.  3. 	Excellent communication, organizational and customer service skills.  4. 	Able to work weekends and non-traditional hours.",52354,52354,52354
DEPARTMENT OF CITY PLANNING,1,CITY PLANNER,2025-12-01,"The successful candidate will have strong quantitative analytical skills, with an ability to present thoughtful, coherent messaging on complex topics in compelling written, visual, and oral communication. Demonstrated familiarity with zoning and land use, real estate and development trends, and experience with project management and research development are highly valuable. The candidates should also have a positive attitude toward public service, as well as a desire to contribute to an engaging, team-based work environment.  - Proficiency in MS Office (Word, Excel, PowerPoint) required - Experience with spatial analysis and mapping using ArcGIS or other geospatial tools (i.e. QGIS, Carto) required - Proficient and excited to conduct Excel-based data analysis and visualization - Can work effectively in a team structure to complete tasks in a timely fashion - Strong interpersonal skills, and an ability to communicate technical results effectively - Experience with Adobe Creative Suite (Acrobat, Illustrator, and/or InDesign) a plus - Experience with CoStar or other real estate data sources a plus",64157,73780,68968
BRONX DISTRICT ATTORNEY,15,ASSISTANT DISTRICT ATTORNEY (S,2022-07-13,,80440,167610,124025
DEPARTMENT OF CORRECTION,8,ASSOCIATE CORRECTIONAL COUNSEL,2026-01-12,,59359,68263,63811
DEPT OF HEALTH/MENTAL HYGIENE,2,CONSULTANT (EARLY CHILDHOOD ED,2025-09-24,,77211,77211,77211
OFFICE OF THE COMPTROLLER,1,CLAIM SPECIALIST,2025-12-12,"- Knowledgeable about New York State Vehicle and Traffic laws; - Basic understanding of the process/relationship between the Comptroller's Office and the Law Department with respect to lawsuits; - Candidate must have proven strong negotiation skills; - Candidate must display attention to detail, organizational skills, and the ability to multi-task and manage multiple priorities; - Candidate must possess excellent interpersonal skills, communications skills, accounting skills, and the ability to communicate effectively orally and in writing (includes Microsoft Office Suite proficiency).",69880,80362,75121
DEPARTMENT OF INVESTIGATION,1,CONFIDENTIAL INVESTIGATOR,2025-10-17,"•	Minimum three (3) years of professional investigative experience in law enforcement, oversight, regulatory, compliance, or a similar environment •	Demonstrated ability to conduct interviews, perform field investigative activities, write reports, and provide testimony. •	Demonstrated ability to meticulously analyze, assess and draw conclusions based on complex documents and data, including but not limited to policies, procedures, and financial documents. •	Proven history of progressive responsibilities as an investigator, leadership skills, and demonstrated potential for promotion to a supervisory position. •	Proven ability to function independently with minimal supervision and to balance an active load of multiple cases.   •	Strong interpersonal skills. •	Demonstrated ethics and sound judgment. •	Proven research and writing abilities, including the ability to write at a high level on short deadlines. •	Strong computer skills, including open source intelligence databases, and Microsoft Office programs. •	Advanced knowledge of New York City government and regulations, New York State Penal Law and Criminal Procedure Law",74642,81346,77994
DEPT OF ENVIRONMENT PROTECTION,1,PRINCIPAL ADMINISTRATIVE ASSOC,2022-11-01,,58695,89699,74197
POLICE DEPARTMENT,1,BOOKKEEPER,2026-01-28,"Ability to handle sensitive financial information and operational data, exceptional precision in recording, verifying and reconciling transactions to prevent errors or oversights and Excel fluency.",50394,66865,58630
DEPT OF HEALTH/MENTAL HYGIENE,5,COMMUNITY COORDINATOR,2025-12-09,,62868,65000,63934
OFFICE OF LABOR RELATIONS,1,EXECUTIVE PROGRAM SPECIALIST,2026-01-30,,150000,180000,165000
MANHATTAN COMMUNITY BOARD #10,1,DISTRICT MANAGER,2025-10-01,"·	Excellent managerial and interpersonal skills ·	Strong oral and written communications skills ·	Excellent critical thinking and problem-solving skills ·	Prior managerial or supervisory experience and knowledge of the operations of the New York City government are strongly preferred. ·	Excellent organizational skills and attention to detail ·	Prior experience working in City government and working with community organizations strongly preferred. ·	Some knowledge of state and local policies. ·	Strong understanding of budget management; experience with FMS is a plus ·	Demonstrated ability to lead multiple high-profile and complex projects simultaneously with strict deadlines ·	Collaborative team player  ·	Leadership skills, with steadfast resolve, excellent judgement, and professional integrity ·	Must have excellent computer and technology skills. ·	Demonstrated familiarity with a variety of social media platforms, including Facebook, Twitter, Instagram, LinkedIn, and TikTok, to reach diverse audiences. ·	College BA; additional graduate studies in areas such as public administration, urban planning, and social work are desirable.",80000,95000,87500
DEPT OF PARKS & RECREATION,3,CITY PARK WORKER,2026-01-30,1.	Strong organizational and leadership skills and ability to motivate a crew. 2.	Excellent communication skills. 3.	Good attendance record. 4.	Demonstrate strong customer service skills.,60715,60715,60715
DEPARTMENT OF SANITATION,1,COLLEGE AIDE (ALL CITY DEPTS),2025-12-11,"•	Experience with Unix/Linux/Windows operating environments. •	Understanding of scripting languages (i.e. shell scripting, python, etc.) •	A passion for learning new skills and ability to troubleshoot technical problems. •	Ability to collaborate in a team focused environment.",35360,44512,39936
DEPT OF DESIGN & CONSTRUCTION,1,ADMINISTRATIVE ARCHITECT,2025-12-23,"Candidate must have ten years of full-time paid experience in architecture and/or engineering, encompassing the delivery of complex design and construction projects, at least two years of which shall have been as manager of a major business unit, within a multi-divisional public or private architecture and/or engineering organization. Familiarity with Building Codes and Local Laws pertaining to design and construction; LEED AP certification is preferred. Experience with Integrated Project Delivery (IPD) and Building Information Modeling (BIM) is a plus. Familiarity with and interaction with NYCDOB protocols is desired.",103355,228632,165994
DEPT OF ENVIRONMENT PROTECTION,1,ADMINISTRATIVE PROJECT MANAGER,2026-01-15,,62407,172854,117630
DEPT OF DESIGN & CONSTRUCTION,1,ASSOCIATE PROJECT MANAGER,2025-12-18,"Please note the following preferred skills for this position:  1.	Outstanding verbal and written communication skills, especially in technical reports 2.	Proficiency in Microsoft Office and Power BI. 3.	Familiar with accessibility requirements and regulations, including PROWAG, ADA and FHWA. 4.	Should demonstrate to be detail orientated, with the ability to manage several projects and complete multiple multi-trade projects simultaneously on schedule. 5.	Project management knowledge relevant to infrastructure work (i.e., roadway, sewer, and/or water main).  6.	Knowledge of specifications methods, operations, design, and construction of the City’s infrastructure system and current engineering practices. 7.	Knowledge of Primavera P6 scheduling and Envision Sustainability Professional (ENV SP) credential (preferred) 8.	Valid driver's license (optional but highly recommended) 9.	Personal vehicle (optional)",86749,99761,93255
DEPT OF PARKS & RECREATION,1,ADM ENGINEER (NON MGRL),2026-01-30,"1.	Specialty in Structural Engineering. 2.	Thorough understanding of NYC Department of Building codes/regulations. 3.	At least 5 years of experience with both technical design and project management duties. 4.	Knowledge in the following specialized areas: waterfront structures and sustainable/“green” design. 5.	Proficiency in AutoCAD, Microsoft Office Suite and relevant structural design software. 6.	Excellent communication and organizational skills. 7.	A driver license valid in New York State.",140000,150000,145000
DEPT OF PARKS & RECREATION,1,COMMUNITY ASSOCIATE,2026-01-09,"1.	Bachelor’s degree in education, technology or a digital media-related field. 2.	Experience working with children and teenagers in a technology classroom or after-school setting. 3.	Familiarity with Queens neighborhoods and constituencies.  4.	Experience teaching adults and seniors in a technology classroom setting. 5.	Background in curriculum development, with emphasis on digital/media literacy and connected learning. 6.	Familiarity with the digital media community and dissemination methods. 7.	Experience in graphic and web design, animation, visual arts and/or film or video production. 8.	Proficiency in general and open source computer software including Apple OS, Microsoft Windows, Adobe Creative Cloud, Microsoft Office and other cloud-based platforms like Google Docs. 9.	Ability to troubleshoot basic computer and software problems. 10.	Excellent writing, administrative and interpersonal skills. 11.	Flexible, collaborative and able to work effectively in and with diverse communities.",44545,74134,59340
DEPT OF DESIGN & CONSTRUCTION,1,ADM CONSTRUCTION PRJ MGR-NM,2025-12-18,"Please note the following preferred skills for this position:  1.	Must have robust supervision experience. 2.	Outstanding verbal and written communication skills. 3.	Proficiency in Microsoft Office. 4.	Knowledge relevant to infrastructure construction work (i.e., roadway, sewer, and/or water main) 5.	Familiarity with NYC DOT, NYS DOT, NYC DEP specifications, MUTCD, and AASHTO standards 6.	Comprehensive understanding of the NYC infrastructure system and current engineering practices 7.	Proficiency in Primavera P6 scheduling. 8.	Envision Sustainability Professional (ENV SP) credential (preferred) 9.	Valid driver's license (required) 10.	Personal vehicle (Optional)",62407,131871,97139
DISTRICT ATTORNEY-MANHATTAN,1,COMMUNITY ASSOCIATE,2026-01-15,,56942,60410,58676
BRONX DISTRICT ATTORNEY,1,COMMUNITY COORDINATOR,2025-12-23,"PREFERRED REQUIREMENTS:   -Five or more years of full-time paid employment as defined in CPL 1.20, within the State of New York.  - Prior experience working in the NYC Criminal Justice system and/or Police Officer within New York State.  - Accredited police academy certification or eligibility for renewal. - Experienced in developing informants and locating witnesses.  - Strong technical computer skills using a variety of applications for law enforcement.  - Experienced in surveillance techniques including photography and videotaping skills.  - Experienced in conducting lineups and photo arrays.  - Experienced in effective interviewing techniques.  - Understanding of best practices in police operations and investigative techniques.  - Ability to memorialize events, interviews and investigative actions through strong writing skills.  - Ability and experience in conducting lengthy cold case investigations.",95000,95000,95000
DEPT OF ENVIRONMENT PROTECTION,1,ENVIRONMENTAL ENGINEER,2025-11-10,"•	Bachelor’s degree in engineering, minimum of 10 years of construction related experience preferably with infrastructure such as water mains and sewers, 3 years of which were in a supervisory capacity overseeing contracts and subordinates. •	A good work ethic and willing to be vocal with contractors to make sure specifications are being followed.",93614,107656,100635
NYC HOUSING AUTHORITY,1,ASSOCIATE HOUSING DEVELOPMENT,2026-01-30,"1.	Experience coaching and mentoring staff and/or colleagues and encouraging collaboration/cohesive teamwork. 2.	Experience providing stellar customer service support to agency peers. 3.	Ability to perform detailed work under time-sensitive deadlines. 4.	Ability to work collaboratively across cross-functional teams within the Capital Projects Division, other NYCHA Departments and external agencies. 5.	Strong analytical skills with proficiency in Microsoft Excel and data presentation.",115000,121000,118000
POLICE DEPARTMENT,1,INVESTIGATOR,2025-10-31,"Ideal candidate should have analytic skills, good judgment, computer skills, internet search, Microsoft Word, Excel, and PowerPoint.",46689,74549,60619
DEPT OF HEALTH/MENTAL HYGIENE,1,CITY CUSTODIAL ASSISTANT,2025-10-29,,39970,51919,45944
DEPT OF HEALTH/MENTAL HYGIENE,1,ADMINISTRATIVE PUBLIC HEALTH N,2025-03-17,,66067,100000,83034
DEPT OF HEALTH/MENTAL HYGIENE,3,SUPERVISING SPECIAL OFFICER,2025-03-18,,54012,61033,57522
BRONX DISTRICT ATTORNEY,2,COMMUNITY COORDINATOR,2026-01-06,"- A minimum of one (1) year of legal work experience preferred.  - Familiarity with general court procedures, services, and functions.  - Ability to effectively and professionally communicate and interact with supervisors, colleagues, law enforcement, civilians, District Attorneys, and court personnel, as well as other agencies.  - Excellent organizational skills, strong attention to detail, and the ability to handle a high volume of cases in a fast-paced environment. - Engage in witness contact and communication.  - Proficient in Microsoft Office, One Drive, Adobe Pro and knowledge the New York Penal Law.  - Ability to take the initiative to implement systems that ensure work is done both accurately and efficiently.",90000,90000,90000
DEPARTMENT OF TRANSPORTATION,2,ASSISTANT CIVIL ENGINEER,2026-01-15,"Preference will be given to candidate who possess a driver’s license valid in the state of New York. This license must be maintained throughout the duration of employment in this position.  Proficiency in AutoCAD, GUIDESign, AutoTurn, and Microsoft Office Suite. A familiarity with AASHTO, MUTCD, NYC Street Design Manual, and NACTO publications.  Excellent writing and oral skills are preferred.  Candidates interested in this position will be asked to work collaboratively, to cultivate continued professional development, use state-of-the-practice technology for plan development, and to effectively communicate through verbal and written forms with all stakeholders.",66330,99528,82929
HOUSING PRESERVATION & DVLPMNT,1,ASSISTANT MECHANICAL ENGINEER,2026-01-09,,66330,76279,71304
DEPT OF DESIGN & CONSTRUCTION,1,COMMUNITY COORDINATOR,2025-12-15,"Candidate must be experienced in customer service, have excellent communication skills, and be a team player. In addition, possess good follow-up skills, the ability to provide feedback, be flexible, and be able to pay close attention to detail while working on multiple projects. Preference will be given to candidates with exceptional computer and technology skills.",62868,72298,67583
HRA/DEPT OF SOCIAL SERVICES,1,ASSOCIATE BENEFITS OPPORTUNITY,2025-12-19,,58377,67134,62756
NYC HOUSING AUTHORITY,1,ADMIN ARCHITECT (NON MGRL) M-1,2026-01-12,"•	License as a registered architect or professional engineer in New York State is preferred. •	Ten (10)+ years of experience in architectural/engineering design or construction, with a minimum of 4 years’ experience focused on Code compliance in a New York City based architecture/engineering firm, construction company, or city agency dealing with capital construction projects. •	Demonstrated track record of successful delivery over a sustained period within the industry. •	Experienced technical and project leader. •	Experience mentoring and leading others, developing individual’s skills, whilst encouraging collaboration and cohesive teamwork. •	Excellent written and verbal communications skills and the ability to represent NYCHA internally and externally. •	Expertise in NYC DOB processes and NYC Building Code, FDNY regulations, Landmark filing and expediting, OATH processes and Multiple Dwelling Law. Expertise in DEP processes, DCP processes and a clear understanding of the Zoning Resolution are a plus.",133000,140000,136500
HOUSING PRESERVATION & DVLPMNT,1,COMMUNITY COORDINATOR,2025-12-23,,62868,72298,67583
DEPT OF ENVIRONMENT PROTECTION,1,ASSISTANT ELECTRICAL ENGINEER,2026-01-02,,66330,99528,82929
DEPARTMENT OF CORRECTION,1,CONFIDENTIAL AGENCY INVESTIGAT,2026-01-21,,120000,150000,135000
HOUSING PRESERVATION & DVLPMNT,1,AGENCY ATTORNEY,2026-01-10,,83000,95450,89225
DEPT OF ENVIRONMENT PROTECTION,1,ADMINISTRATIVE CONSTRUCTION PR,2026-01-15,,94050,242675,168362
BOROUGH PRESIDENT-BRONX,1,COMMUNITY COORDINATOR,2025-12-17,"The strongest candidates will bring:  •	Excellent written and verbal communication abilities.  •	Proficiency in Microsoft Office (Excel, PowerPoint).  •	Familiarity with GIS tools (ArcGIS, QGIS).  •	Strong analytical, organizational, and problem-solving skills . •	A collaborative approach paired with the ability to work independently.  •	A positive, solutions-oriented mindset.  •	Experience with government, civic, or community-based organizations.  •	Knowledge of Bronx neighborhoods, assets, and challenges.",75000,90000,82500
DEPT OF HEALTH/MENTAL HYGIENE,1,DEPUTY COMMISSIONER (HEALTH),2025-12-17,,113690,261048,187369
DEPARTMENT OF TRANSPORTATION,1,ASSOCIATE INVESTIGATOR (NOT PR,2025-12-12,"•	Preference given to candidates possessing a valid NYS Driver’s license. •	Advanced proficiency in Microsoft Word, Excel and Access is required.",69880,98325,84102
CIVILIAN COMPLAINT REVIEW BD,1,DEPUTY ASSISTANT DIRECTOR (NON,2025-11-18,"• Six years of professional experience, with a minimum of three years in staffing, recruiting and/or talent acquisition. • Proven ability to use computer software and applications, including Microsoft Office, to share, retrieve, research and present business information. • Bachelors Degree in human resources, business administration, or related field. • Must be flexible, diplomatic, extremely detail-oriented, and a team player, with the ability to work and produce in a fast-paced environment. Candidate should possess strong process improvement, analytical, project management, communication and interpersonal skills; be familiar with spreadsheet, database, presentation, statistical, project management and word processing applications; and have the ability to manage multiple tasks in a fast-paced work environment. • The preferred candidate must possess superb skills in the following (6) Executive Core Competencies: FUNDAMENTAL COMPETENCIES: - (i.e., interpersonal skills, oral communication, integrity/honesty, written communication, continual learning and public service motivation). LEADING STRATEGIC CHANGE - (i.e., creativity and innovation, external awareness, flexibility, strategic thinking and vision). LEADING, TEAMWORK & DEVELOPING PEOPLE - (i.e., conflict management, leveraging diversity, developing others and team building). ACCOUNTABILITY & RESULTS DRIVEN - (i.e., accountability, customer service, decisiveness, entrepreneurship, problem solving and technical credibility). MANAGING HUMAN & FINANCIAL RESOURCES – (i.e., financial management, human capital management and technology management). BUILDING COALITIONS - This core qualification involves the ability to build coalitions internally and with other Federal agencies, State and Local governments, nonprofit and private-sector organizations, foreign governments, or international organizations to achieve common goals. (i.e., partnering, political awareness and influencing/negotiating).",93482,115000,104241
HOUSING PRESERVATION & DVLPMNT,1,COMMUNITY COORDINATOR,2026-01-05,,62868,72298,67583
BRONX DISTRICT ATTORNEY,1,COMMUNITY ASSOCIATE,2026-01-12,"- Familiarity with the Criminal Justice system and/or general court procedures.  - Strong ability to multi-task various assignments.  - Strong computer skills, including familiarity and experience with Microsoft Word and Excel.  - Excellent written, oral, and interpersonal communication skills.  - Exceptional organizational skills and ability to work in a fast-paced environment.  - Excellent customer service skills and the ability to organize information in a concise manner.  -Detail orientated; ability to precisely and accurately verify data and correct errors.",53174,53174,53174
DEPT OF DESIGN & CONSTRUCTION,1,ASSOCIATE PROJECT MANAGER,2025-12-02,"Candidates should have at least six years of experience working with complex construction project management, schedule management, and cost management. Candidates should also possess strong organizational, computer, verbal, and written communication skills and must be attentive to details.",86749,99761,93255
DEPT OF DESIGN & CONSTRUCTION,1,PROJECT MANAGER INTERN#,2025-11-19,"Candidates must have strong verbal and written communication skills, proficient in Excel and Adobe Acrobat, strong interpersonal skills, flexibility, and the ability to manage multiple priorities and deadlines.",59888,68871,64380
PRESIDENT BOROUGH OF MANHATTAN,1,COMMUNITY ASSOCIATE,2026-01-20,•	Bachelor’s Degree •	Excellent time management skills •	Effective verbal and written communication skills •	Ability to prioritize assignments independently •	Extremely organized and have the ability to complete multiple assignments in a timely manner •	Scheduling experience a plus,60000,65000,62500
DEPT OF DESIGN & CONSTRUCTION,1,ADMIN ARCHITECT (NON MGRL) M-1,2025-11-19,"Candidates should have knowledge of design principles and demonstrate the ability to implement design into construction; broad knowledge of management policies, practices, and techniques used to control or administer complex technical operations; ability to effectively communicate both verbally and in writing; and have at least 6 years of experience in managerial, administrative, or supervisory capacity.",62407,131871,97139
DEPT OF DESIGN & CONSTRUCTION,1,ASSOCIATE PROJECT MANAGER,2025-11-13,"Candidates should have the ability to manage construction managers; complete multiple multi-trade projects on schedule; possess strong computer, organizational, verbal, and written communication skills; and should be attentive to details.",78740,90551,84646
OFFICE OF CRIMINAL JUSTICE,1,EXECUTIVE AGENCY COUNSEL,2024-07-21,"· Supervisory experience in a defender office, prosecutor’s office, or law firm. · Knowledge of federal criminal law and criminal procedure. · Substantial background in the retrieval, handling, analysis, and preservation of digital forensic evidence.",66066,175000,120533
PUBLIC ADVOCATE,1,OFFICE MANAGER (PUBLIC ADVOCAT,2026-01-21,,75000,85000,80000
DEPT OF ENVIRONMENT PROTECTION,1,CIVIL ENGINEER,2026-01-15,"• A valid New York State driver’s license is required. • Strong oral and written communication. • Research capabilities.  • Experience using advanced functions of Microsoft Office. Experience using advanced functions of AutoCAD, GIS. • Ability to prioritize project review for a high volume of complex engineering projects with a high attention to detail. • Ability to learn quickly a new scope of review to adapt to a wide variety of projects. • Ability to work with moderate supervision. • Willingness to improve existing systems and processes where the existing structure may be deficient.",107656,107656,107656
DEPT OF DESIGN & CONSTRUCTION,1,ADMINISTRATIVE MANAGEMENT AUDI,2025-12-19,"Preferred skill sets include working knowledge of FMS2/3, including IFA FMS System and working knowledge of the IFA Process.",83718,137660,110689
DEPT OF HEALTH/MENTAL HYGIENE,1,INVESTIGATOR,2025-11-17,"- Excellent oral, written and interpersonal communication skills.  - Highly organized, strong attention to detail, and solution oriented.  - Ability to multitask in a fast-paced environment.  - Working knowledge of childcare regulations desired but not required.  - Experience with data entry and querying large datasets a plus.",48206,55437,51822
OFF OF PAYROLL ADMINISTRATION,1,ADMINISTRATIVE ACCOUNTANT (NON,2025-12-08,,68214,80000,74107
HRA/DEPT OF SOCIAL SERVICES,2,ASSOCIATE BENEFITS OPPORTUNITY,2026-01-07,,70646,81243,75944
CONSUMER AND WORKER PROTECTION,1,CLERICAL ASSOCIATE,2025-12-26,,46503,59757,53130
DEPARTMENT OF TRANSPORTATION,20,DECKHAND (FERRY),2025-11-10,,64193,73821,69007
NYC HOUSING AUTHORITY,1,ASSISTANT RESIDENT BUILDING SU,2026-01-22,,57717,88393,73055
