Agency,# Of Positions,Civil Service Title,Posting Date,Preferred Skills,Salary Range From (Annual),Salary Range To (Annual),Mean Annual Salary
NYC HOUSING AUTHORITY,1,HOUSING ASSISTANT (HA),2026-01-29,"•	Knowledge of the Housing Choice Voucher (Section 8) Program and related compliance functions including the Department of Housing and Urban Development (""HUD"") rules and regulations. •	Extensive knowledge of the Siebel database. •	Proficiency in Word, Excel Outlook, and other database systems.  •	Ability to communicate clearly and concisely, both verbally and in writing.  •	Excellent detail-orientation and follow up skills. •	Ability to establish and maintain effective working relationships with peers, superiors, residents, community service agencies, and the public. •	Ability to manage multiple priorities and demands; analyze situations, identify problems and offer solutions.",44005,71320,57662
DEPT OF HEALTH/MENTAL HYGIENE,5,CONSULTANT (PUBLIC HEALTH-SOCI,2025-12-16,,77211,77211,77211
HOUSING PRESERVATION & DVLPMNT,1,COMPUTER SPECIALIST (SOFTWARE),2026-01-21,,107137,123208,115172
DEPT OF HEALTH/MENTAL HYGIENE,1,STAFF ANALYST TRAINEE,2025-12-31,,48983,59700,54342
POLICE DEPARTMENT,100,ASSISTANT SCHOOL SAFETY AGENT,2026-01-30,,37339,37339,37339
LANDMARKS PRESERVATION COMM,1,ASSOCIATE STAFF ANALYST,2026-01-03,,82056,97500,89778
DEPT OF DESIGN & CONSTRUCTION,1,ADM ENGINEER (NON MGRL),2025-12-18,"Please note the following preferred skills for this position:  1.	Must have robust supervision experience. 2.	Outstanding verbal and written communication skills. 3.	Proficiency in Microsoft Office. 4.	Knowledge relevant to infrastructure construction work (i.e., roadway, sewer, and/or water main) 5.	Familiarity with NYC DOT, NYS DOT, NYC DEP specifications, MUTCD, and AASHTO standards 6.	Comprehensive understanding of the NYC infrastructure system and current engineering practices 7.	Proficiency in Primavera P6 scheduling. 8.	Envision Sustainability Professional (ENV SP) credential (preferred) 9.	Valid driver's license (required) 10.	Personal vehicle (Optional)",62407,131871,97139
DEPT OF HEALTH/MENTAL HYGIENE,1,PUBLIC HEALTH ADVISER (SCHOOL,2025-11-05,,51750,59509,55630
DEPARTMENT OF FINANCE,1,BUSINESS RESEARCH & DATA ANALY,2026-01-10,"•Familiarity with an ERP (Enterprise Resource Planning) system such as Workday, Oracle NetSuite or Microsoft Dynamics is a plus. •Knowledge of Microsoft Suite programs such as SharePoint, Power Platform, and Power BI.  •Work well independently and as a team.",93568,100904,97236
DEPT OF DESIGN & CONSTRUCTION,1,COMMUNITY ASSOCIATE,2025-12-22,"Candidate should possess strong attention to detail, organization, and customer service. Be proficient with Microsoft Excel and PowerPoint. Ability to lift and move boxes of paper and supplies as needed. Experience in a print/reproduction center and/or mailroom environment.",44545,65884,55214
DEPT OF DESIGN & CONSTRUCTION,1,ASSOCIATE PROJECT MANAGER,2025-12-23,"Candidates should have at least six years of experience working with complex design and construction project management, schedule management, and cost management. Candidates should have the ability to manage construction managers complete multiple multi-trade projects on schedule possess a strong organizational, computer, verbal, and written communication skills and must be attentive to details.",86749,99761,93255
DEPT OF ENVIRONMENT PROTECTION,1,ADM ENGINEER (NON MGRL),2026-01-06,"- A PE license. - Thorough knowledge of Operation of NYC municipal water supply and sewer system. Experience with NYC Construction methods and practices. Overall knowledge of NYC water main and sewer construction. Excellent management skills including planning, coordination, problem solving and supervision. Ability to assess priorities and to properly coordinate multiple repairs sites. Computer aptitude and working knowledge of work order management systems as well as general Microsoft Office programs such as Excel, Word, and Outlook.",120000,141970,130985
